info @storybook/react v6.1.14
info 
info => Cleaning outputDir /tmp/chromatic--31935-ctMfWE8q9T3E
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/dist/server/common/polyfills.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/dist/server/preview/globals.js /home/magedjisr/node-app/test-storybook/.storybook/storybook-init-framework-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /home/magedjisr/node-app/test-storybook/.storybook/preview.js-generated-config-entry.js /home/magedjisr/node-app/test-storybook/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 10% building 3/11 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 4/11 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 5/11 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 6/11 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 7/11 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 8/11 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 8/12 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/dist/server/common/polyfills.js
<s> [webpack.Progress] 10% building 8/13 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/dist/server/preview/globals.js
<s> [webpack.Progress] 10% building 8/14 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-links/dist/preset/addDecorator.js
<s> [webpack.Progress] 10% building 8/15 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-actions/dist/preset/addArgs.js
<s> [webpack.Progress] 10% building 8/16 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js
<s> [webpack.Progress] 10% building 8/17 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js
<s> [webpack.Progress] 10% building 8/18 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js
<s> [webpack.Progress] 11% building 9/18 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js
<s> [webpack.Progress] 11% building 10/18 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js
<s> [webpack.Progress] 11% building 10/19 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js
<s> [webpack.Progress] 11% building 10/20 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 11/20 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 11/21 modules 10 active /home/magedjisr/node-app/test-storybook/src sync /^\.(?:(?:^|\/|(?:(?:(?!(?:^|\/)\.).)*?)\/)(?!\.)(?=.)[^/]*?\.stories\.mdx)$/
<s> [webpack.Progress] 11% building 11/22 modules 11 active /home/magedjisr/node-app/test-storybook/src sync /^\.(?:(?:^|\/|(?:(?:(?!(?:^|\/)\.).)*?)\/)(?!\.)(?=.)[^/]*?\.stories\.(js|jsx|ts|tsx))$/
<s> [webpack.Progress] 11% building 12/22 modules 10 active /home/magedjisr/node-app/test-storybook/src sync /^\.(?:(?:^|\/|(?:(?:(?!(?:^|\/)\.).)*?)\/)(?!\.)(?=.)[^/]*?\.stories\.(js|jsx|ts|tsx))$/
<s> [webpack.Progress] 11% building 13/22 modules 9 active /home/magedjisr/node-app/test-storybook/src sync /^\.(?:(?:^|\/|(?:(?:(?!(?:^|\/)\.).)*?)\/)(?!\.)(?=.)[^/]*?\.stories\.(js|jsx|ts|tsx))$/
<s> [webpack.Progress] 11% building 13/23 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 11% building 14/23 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 11% building 15/23 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 11% building 16/23 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 17/23 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 18/23 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 19/23 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 20/23 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 21/23 modules 2 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 22/23 modules 1 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/.storybook/preview.js
<s> [webpack.Progress] 12% building 23/23 modules 0 active 
<s> [webpack.Progress] 12% building 23/24 modules 1 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 12% building 23/25 modules 2 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-actions/dist/index.js
<s> [webpack.Progress] 12% building 23/26 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-links/dist/index.js
<s> [webpack.Progress] 12% building 23/27 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/common/enhanceArgTypes.js
<s> [webpack.Progress] 12% building 23/28 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/extractArgTypes.js
<s> [webpack.Progress] 12% building 23/29 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 12% building 24/29 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 13% building 25/29 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 13% building 26/29 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 13% building 27/29 modules 2 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 13% building 28/29 modules 1 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 13% building 29/29 modules 0 active 
<s> [webpack.Progress] 13% building 29/30 modules 1 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/babel-loader/lib/index.js??ref--5-0!/home/magedjisr/node-app/test-storybook/node_modules/@mdx-js/loader/index.js??ref--5-1!/home/magedjisr/node-app/test-storybook/src/stories/Introduction.stories.mdx
<s> [webpack.Progress] 13% building 29/31 modules 2 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/node_modules/@storybook/source-loader/dist/index.js??ref--7!/home/magedjisr/node-app/test-storybook/src/stories/Button.stories.js
<s> [webpack.Progress] 13% building 29/32 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/node_modules/@storybook/source-loader/dist/index.js??ref--7!/home/magedjisr/node-app/test-storybook/src/stories/Header.stories.js
<s> [webpack.Progress] 13% building 29/33 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/node_modules/@storybook/source-loader/dist/index.js??ref--7!/home/magedjisr/node-app/test-storybook/src/stories/Page.stories.js
<s> [webpack.Progress] 13% building 29/34 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/index.js
<s> [webpack.Progress] 13% building 29/35 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-logger/dist/index.js
<s> [webpack.Progress] 13% building 29/36 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 13% building 29/37 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/lodash/mapValues.js
<s> [webpack.Progress] 13% building 30/37 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/lodash/mapValues.js
<s> [webpack.Progress] 13% building 31/37 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/lodash/mapValues.js
<s> [webpack.Progress] 13% building 31/38 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/global/window.js
<s> [webpack.Progress] 13% building 31/39 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/airbnb-js-shims/index.js
<s> [webpack.Progress] 13% building 31/40 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.object.assign.js
<s> [webpack.Progress] 13% building 31/41 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.exec.js
<s> [webpack.Progress] 13% building 31/42 modules 11 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.constructor.js
<s> [webpack.Progress] 13% building 31/43 modules 12 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 13% building 32/43 modules 11 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 13% building 33/43 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 14% building 34/43 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 14% building 35/43 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 14% building 36/43 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 14% building 36/44 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-actions/dist/constants.js
<s> [webpack.Progress] 14% building 36/45 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-links/dist/preview.js
<s> [webpack.Progress] 14% building 36/46 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.array.slice.js
<s> [webpack.Progress] 14% building 36/47 modules 11 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.object.define-properties.js
<s> [webpack.Progress] 14% building 36/48 modules 12 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.object.freeze.js
<s> [webpack.Progress] 14% building 36/49 modules 13 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/react/dist/client/index.js
<s> [webpack.Progress] 14% building 36/50 modules 14 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/common/normalizeArgTypes.js
<s> [webpack.Progress] 14% building 36/51 modules 15 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/frameworks/react/extractProps.js
<s> [webpack.Progress] 14% building 36/52 modules 16 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/shared.js
<s> [webpack.Progress] 14% building 36/53 modules 17 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 14% building 37/53 modules 16 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 14% building 38/53 modules 15 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 14% building 39/53 modules 14 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 14% building 40/53 modules 13 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 14% building 41/53 modules 12 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 15% building 42/53 modules 11 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 15% building 42/54 modules 12 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 15% building 42/55 modules 13 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/blocks/index.js
<s> [webpack.Progress] 15% building 42/56 modules 14 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 43/56 modules 13 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 44/56 modules 12 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 45/56 modules 11 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 46/56 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 47/56 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 48/56 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 15% building 49/56 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 16% building 50/56 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 16% building 51/56 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 16% building 52/56 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 16% building 53/56 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/core/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 16% building 53/57 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/lib/docgen/index.js
<s> [webpack.Progress] 16% building 54/57 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/lib/docgen/index.js
<s> [webpack.Progress] 16% building 55/57 modules 2 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/addon-docs/dist/lib/docgen/index.js
<s> [webpack.Progress] 16% building 55/58 modules 3 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/client_api.js
<s> [webpack.Progress] 16% building 55/59 modules 4 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/decorators.js
<s> [webpack.Progress] 16% building 55/60 modules 5 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/parameters.js
<s> [webpack.Progress] 16% building 55/61 modules 6 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/story_store.js
<s> [webpack.Progress] 16% building 55/62 modules 7 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/config_api.js
<s> [webpack.Progress] 16% building 55/63 modules 8 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/simulate-pageload.js
<s> [webpack.Progress] 16% building 55/64 modules 9 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/pathToId.js
<s> [webpack.Progress] 16% building 55/65 modules 10 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/queryparams.js
<s> [webpack.Progress] 16% building 55/66 modules 11 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/hooks.js
<s> [webpack.Progress] 16% building 55/67 modules 12 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/types.js
<s> [webpack.Progress] 16% building 55/68 modules 13 active /home/magedjisr/node-app/test-storybook/node_modules/@storybook/client-api/dist/inferControls.js
<s> [webpack.Progress] 16% building 55/69 modules 14 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.array.concat.js
<s> [webpack.Progress] 16% building 55/70 modules 15 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/src/stories/Header.js
<s> [webpack.Progress] 16% building 55/71 modules 16 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/src/stories/Page.js
<s> [webpack.Progress] 16% building 55/72 modules 17 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/src/stories/Button.js
<s> [webpack.Progress] 16% building 56/72 modules 16 active /home/magedjisr/node-app/test-storybook/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/magedjisr/node-app/test-storybook/src/stories/Button.js
<s> [webpack.Progress] 16% building 56/73 modules 17 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/features/symbol/index.js
<s> [webpack.Progress] 16% building 57/73 modules 16 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/features/symbol/index.js
<s> [webpack.Progress] 16% building 57/74 modules 17 active /home/magedjisr/node-app/test-storybook/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 57/75 modules 18 active /home/magedjisr/node-app/test-storybook/node_modules/lodash/_baseAssignValue.js
<s> [webpack.Progress] 16% building 57/76 modules 19 active /home/magedjisr/node-app/test-storybook/node_modules/lodash/_baseForOwn.js
<s> [webpack.Progress] 16% building 57/77 modules 20 active /home/magedjisr/node-app/test-storybook/node_modules/lodash/_baseIteratee.js
<s> [webpack.Progress] 16% building 57/78 modules 21 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.function.name.js
<s> [webpack.Progress] 16% building 57/79 modules 22 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.array.reduce.js
<s> [webpack.Progress] 16% building 57/80 modules 23 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.array.for-each.js
<s> [webpack.Progress] 16% building 57/81 modules 24 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.array.map.js
<s> [webpack.Progress] 16% building 57/82 modules 25 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.array.join.js
<s> [webpack.Progress] 16% building 57/83 modules 26 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.object.to-string.js
<s> [webpack.Progress] 16% building 57/84 modules 27 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/web.dom-collections.for-each.js
<s> [webpack.Progress] 16% building 57/85 modules 28 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.string.match.js
<s> [webpack.Progress] 16% building 57/86 modules 29 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 16% building 58/86 modules 28 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 17% building 59/86 modules 27 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 17% building 60/86 modules 26 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 17% building 61/86 modules 25 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 17% building 62/86 modules 24 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 17% building 63/86 modules 23 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 17% building 64/86 modules 22 active /home/magedjisr/node-app/test-storybook/node_modules/core-js/modules/es.date.to-string.js
